ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NUMERO_PARTIDO,SIGLA_PARTIDO,NUMERO_CANDIDATO,DES_SITUACAO_CANDIDATURA,IDADE_DATA_ELEICAO,DESCRICAO_SEXO,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_ESTADO_CIVIL,DESCRICAO_COR_RACA,DESC_SIT_TOT_TURNO
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2812,DEFERIDO,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,14,PTB,1414,DEFERIDO,58,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,19,PTN,1900,INDEFERIDO,42,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1013,INDEFERIDO,41,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,12,PDT,1212,DEFERIDO,65,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,36,PTC,3600,INDEFERIDO,64,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,36,PTC,3636,RENÚNCIA,29,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,43,PV,4377,DEFERIDO,50,FEMININO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,50,PSOL,5001,DEFERIDO,71,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2833,DEFERIDO,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,36,PTC,3656,DEFERIDO,61,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,11,PP,1144,RENÚNCIA,30,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4555,DEFERIDO,55,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PRETA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1599,DEFERIDO,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4566,DEFERIDO,53,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,31,PHS,3131,DEFERIDO,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,77,SD,7777,DEFERIDO,27,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1511,RENÚNCIA,64,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,40,PSB,4044,DEFERIDO,27,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2882,RENÚNCIA,46,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1560,DEFERIDO,35,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,50,PSOL,5010,DEFERIDO,36,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,22,PR,2266,DEFERIDO,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2888,DEFERIDO,20,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2829,INDEFERIDO,39,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2855,DEFERIDO,58,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1500,DEFERIDO,40,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,12,PDT,1200,INDEFERIDO,46,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,#NULO#
